Sample,Age_CalBP,Age_BC/AD
ANT35A1a,6385,-4435
ANT35A2a,6385,-4435
ANT35B1a,6385,-4435
ANT35B2a,6385,-4435
ANT34A1a,5553,-3603
ANT34A2a,5553,-3603
ANT34B1a,5553,-3603
ANT34B2a,5553,-3603
ANT33A1a,5300,-3350
ANT33A2a,5300,-3350
ANT33B1a,5300,-3350
ANT33B2a,5300,-3350
ANT32A1a,5157,-3207
ANT32A2a,5157,-3207
ANT32B1a,5157,-3207
ANT32B2a,5157,-3207
ANT31A1a,4856,-2906
ANT31A2a,4856,-2906
ANT31B1a,4856,-2906
ANT31B2a,4856,-2906
ANT30A1a,4589,-2639
ANT30A2a,4589,-2639
ANT30B1a,4589,-2639
ANT30B2a,4589,-2639
ANT29A1a,4344,-2394
ANT29A2a,4344,-2394
ANT29B1a,4344,-2394
ANT29B2a,4344,-2394
ANT28A1a,4084,-2134
ANT28A2a,4084,-2134
ANT28B1a,4084,-2134
ANT28B2a,4084,-2134
ANT27A1a,3895,-1945
ANT27A2a,3895,-1945
ANT27B1a,3895,-1945
ANT27B2a,3895,-1945
ANT26A1a,3717,-1767
ANT26A2a,3717,-1767
ANT26B1a,3717,-1767
ANT26B2a,3717,-1767
ANT25A1a,3544,-1594
ANT25A2a,3544,-1594
TEMEXT2a,-,-
ANT25B1a,3544,-1594
ANT25B2a,3544,-1594
ANT24A1a,3327,-1377
ANT24A2a,3327,-1377
ANT24B1a,3327,-1377
ANT24B2a,3327,-1377
ANT23A1a,3230,-1280
ANT23A2a,3230,-1280
ANT23B1a,3230,-1280
ANT23B2a,3230,-1280
ANT22A1a,3079,-1129
ANT22A2a,3079,-1129
ANT22B1a,3079,-1129
ANT22B2a,3079,-1129
ANT21A1a,2997,-1047
ANT21A2a,2997,-1047
ANT21B1a,2997,-1047
ANT21B2a,2997,-1047
ANT20A1a,2880,-930
ANT20A2a,2880,-930
ANT20B1a,2880,-930
ANT20B2a,2880,-930
ANT19A1a,2779,-829
ANT19A2a,2779,-829
ANT19B1a,2779,-829
ANT19B2a,2779,-829
ANT18A1a,2626,-676
TEMPCR1a,-,-
ANT18A2a,2626,-676
ANT18B1a,2626,-676
ANT18B2a,2626,-676
ANT17A1a,2540,-590
ANT17A2a,2540,-590
ANT17B1a,2540,-590
ANT17B2a,2540,-590
ANT16A1a,2445,-495
ANT16A2a,2445,-495
ANT16B1a,2445,-495
ANT16B2a,2445,-495
ANT15A1a,2232,-282
ANT15A2a,2232,-282
ANT15B1a,2232,-282
ANT15B2a,2232,-282
ANT14A1a,2126,-176
ANT14A2a,2126,-176
ANT14B1a,2126,-176
ANT14B2a,2126,-176
ANT13A1a,1893,58
ANT13A2a,1893,58
ANT13B1a,1893,58
ANT13B2a,1893,58
ANT12A1a,1788,162
ANT12A2a,1788,162
ANT12B1a,1788,162
ANT12B2a,1788,162
ANT11A1a,1653,297
ANT11A2a,1653,297
ANT11B1a,1653,297
ANT11B2a,1653,297
ANT10A1a,1543,407
ANT10A2a,1543,407
ANT10B1a,1543,407
ANT10B2a,1543,407
ANT09A1a,1387,563
ANT09A2a,1387,563
ANT09B1a,1387,563
ANT09B2a,1387,563
ANT08A1a,1237,713
TEMEXT4a,-,-
ANT08A2a,1237,713
ANT08B1a,1237,713
ANT08B2a,1237,713
ANT07A1a,923,1027
ANT07A2a,923,1027
ANT07B1a,923,1027
ANT07B2a,923,1027
ANT06A1a,826,1124
ANT06A2a,826,1124
ANT06B1a,826,1124
ANT06B2a,826,1124
ANT05A1a,715,1235
ANT05A2a,715,1235
ANT05B1a,715,1235
ANT05B2a,715,1235
ANT04A1a,611,1339
ANT04A2a,611,1339
ANT04B1a,611,1339
ANT04B2a,611,1339
ANT03A1a,446,1504
ANT03A2a,446,1504
ANT03B1a,446,1504
ANT03B2a,446,1504
ANT02A1a,171,1779
ANT02A2a,171,1779
ANT02B1a,171,1779
ANT02B2a,171,1779
ANT01A1a,-56,2006
ANT01A2a,-56,2006
ANT01B1a,-56,2006
ANT01B2a,-56,2006
RMT01A1a,10162,-8212
RMT01A2a,10162,-8212
RMT01B1a,10162,-8212
RMT01B2a,10162,-8212
RMT02A1a,343,1607
RMT02A2a,343,1607
RMT02B1a,343,1607
RMT02B2a,343,1607
RMT03A1a,521,1429
RMT03A2a,521,1429
RMT03B1a,521,1429
RMT03B2a,521,1429
RMT04A1a,3403,-1453
RMT04A2a,3403,-1453
RMT04B1a,3403,-1453
RMT04B2a,3403,-1453
RMT05A1a,5021,-3071
RMT05A2a,5021,-3071
RMT05B1a,5021,-3071
RMT05B2a,5021,-3071
RMT06A1a,1087,863
TEMVID11,-,-
RMT06B1a,1087,863
RMT06B2a,1087,863
RMT07A1a,5970,-4020
RMT07A2a,5970,-4020
RMT07B1a,5970,-4020
RMT07B2a,5970,-4020
RMT08A1a,2338,-388
RMT08A2a,2338,-388
RMT08B1a,2338,-388
RMT08B2a,2338,-388
RMT09A1a,2001,-51
RMT09A2a,2001,-51
RMT09B1a,2001,-51
RMT09B2a,2001,-51
TEMPCR2a,-,-
RMT10A1a,9308,-7358
RMT10A2a,9308,-7358
RMT10B1a,9308,-7358
RMT10B2a,9308,-7358
RMT11A1a,7530,-5580
RMT11A2a,7530,-5580
RMT11B1a,7530,-5580
TEMVID21,-,-
RMT12A1a,-25,1975
RMT12A2a,-25,1975
RMT12B1a,-25,1975
RMT12B2a,-25,1975
ANT35A1b,6385,-4435
ANT35A2b,6385,-4435
ANT35B1b,6385,-4435
ANT35B2b,6385,-4435
ANT34A1b,5553,-3603
ANT34A2b,5553,-3603
ANT34B1b,5553,-3603
ANT34B2b,5553,-3603
ANT33A1b,5300,-3350
ANT33A2b,5300,-3350
ANT33B1b,5300,-3350
ANT33B2b,5300,-3350
ANT32A1b,5157,-3207
ANT32A2b,5157,-3207
ANT32B1b,5157,-3207
ANT32B2b,5157,-3207
ANT31A1b,4856,-2906
ANT31A2b,4856,-2906
ANT31B1b,4856,-2906
ANT31B2b,4856,-2906
ANT30A1b,4589,-2639
ANT30A2b,4589,-2639
ANT30B1b,4589,-2639
ANT30B2b,4589,-2639
ANT29A1b,4344,-2394
ANT29A2b,4344,-2394
ANT29B1b,4344,-2394
ANT29B2b,4344,-2394
ANT28A1b,4084,-2134
ANT28A2b,4084,-2134
ANT28B1b,4084,-2134
ANT28B2b,4084,-2134
ANT27A1b,3895,-1945
ANT27A2b,3895,-1945
ANT27B1b,3895,-1945
ANT27B2b,3895,-1945
ANT26A1b,3717,-1767
ANT26A2b,3717,-1767
ANT26B1b,3717,-1767
ANT26B2b,3717,-1767
ANT25A1b,3544,-1594
ANT25A2b,3544,-1594
TEMEXT2b,-,-
ANT25B1b,3544,-1594
ANT25B2b,3544,-1594
ANT24A1b,3327,-1377
ANT24A2b,3327,-1377
ANT24B1b,3327,-1377
ANT24B2b,3327,-1377
ANT23A1b,3230,-1280
ANT23A2b,3230,-1280
ANT23B1b,3230,-1280
ANT23B2b,3230,-1280
ANT22A1b,3079,-1129
ANT22A2b,3079,-1129
ANT22B1b,3079,-1129
ANT22B2b,3079,-1129
ANT21A1b,2997,-1047
ANT21A2b,2997,-1047
ANT21B1b,2997,-1047
ANT21B2b,2997,-1047
ANT20A1b,2880,-930
ANT20A2b,2880,-930
ANT20B1b,2880,-930
ANT20B2b,2880,-930
ANT19A1b,2779,-829
ANT19A2b,2779,-829
ANT19B1b,2779,-829
ANT19B2b,2779,-829
ANT18A1b,2626,-676
TEMPCR1b,-,-
ANT18A2b,2626,-676
ANT18B1b,2626,-676
ANT18B2b,2626,-676
ANT17A1b,2540,-590
ANT17A2b,2540,-590
ANT17B1b,2540,-590
ANT17B2b,2540,-590
ANT16A1b,2445,-495
ANT16A2b,2445,-495
ANT16B1b,2445,-495
ANT16B2b,2445,-495
ANT15A1b,2232,-282
ANT15A2b,2232,-282
ANT15B1b,2232,-282
ANT15B2b,2232,-282
ANT14A1b,2126,-176
ANT14A2b,2126,-176
ANT14B1b,2126,-176
ANT14B2b,2126,-176
ANT13A1b,1893,58
ANT13A2b,1893,58
ANT13B1b,1893,58
ANT13B2b,1893,58
ANT12A1b,1788,162
ANT12A2b,1788,162
ANT12B1b,1788,162
ANT12B2b,1788,162
ANT11A1b,1653,297
ANT11A2b,1653,297
ANT11B1b,1653,297
ANT11B2b,1653,297
ANT10A1b,1543,407
ANT10A2b,1543,407
ANT10B1b,1543,407
ANT10B2b,1543,407
ANT09A1b,1387,563
ANT09A2b,1387,563
ANT09B1b,1387,563
ANT09B2b,1387,563
ANT08A1b,1237,713
TEMEXT4b,-,-
ANT08A2b,1237,713
ANT08B1b,1237,713
ANT08B2b,1237,713
ANT07A1b,923,1027
ANT07A2b,923,1027
ANT07B1b,923,1027
ANT07B2b,923,1027
ANT06A1b,826,1124
ANT06A2b,826,1124
ANT06B1b,826,1124
ANT06B2b,826,1124
ANT05A1b,715,1235
ANT05A2b,715,1235
ANT05B1b,715,1235
ANT05B2b,715,1235
ANT04A1b,611,1339
ANT04A2b,611,1339
ANT04B1b,611,1339
ANT04B2b,611,1339
ANT03A1b,446,1504
ANT03A2b,446,1504
ANT03B1b,446,1504
ANT03B2b,446,1504
ANT02A1b,171,1779
ANT02A2b,171,1779
ANT02B1b,171,1779
ANT02B2b,171,1779
ANT01A1b,-56,2006
ANT01A2b,-56,2006
ANT01B1b,-56,2006
ANT01B2b,-56,2006
